sample1,,
Wavelength (nm),%T,
783,68.47808838,
782,68.49732971,
781,68.52140808,
780,68.5386734,
779,68.60757446,
778,68.64251709,
777,68.72746277,
776,68.77462006,
775,68.82078552,
774,68.92436981,
773,69.02750397,
772,69.14295197,
771,69.27586365,
770,69.37580109,
769,69.50989532,
768,69.67942047,
767,69.81960297,
766,69.97842407,
765,70.16278839,
764,70.34815216,
763,70.53320313,
762,70.73470306,
761,70.94358826,
760,71.13162994,
759,71.36916351,
758,71.59817505,
757,71.87071228,
756,72.09617615,
755,72.34781647,
754,72.61321259,
753,72.87024689,
752,73.15814209,
751,73.42379761,
750,73.72477722,
749,74.06360626,
748,74.35182953,
747,74.63565826,
746,74.92179108,
745,75.25788879,
744,75.53934479,
743,75.89951324,
742,76.18716431,
741,76.45674133,
740,76.75358582,
739,77.10473633,
738,77.46127319,
737,77.6941452,
736,78.00398254,
735,78.28225708,
734,78.5867691,
733,78.84991455,
732,79.10708618,
731,79.36329651,
730,79.64521027,
729,79.88508606,
728,80.11665344,
727,80.3338623,
726,80.53951263,
725,80.76203156,
724,80.87541199,
723,80.97534943,
722,81.14896393,
721,81.31450653,
720,81.39846039,
719,81.49889374,
718,81.51578522,
717,81.53627014,
716,81.51418304,
715,81.50680542,
714,81.47859955,
713,81.44831085,
712,81.40112305,
711,81.29655457,
710,81.18914032,
709,80.98683929,
708,80.85956573,
707,80.70928192,
706,80.51316833,
705,80.33280182,
704,80.07424164,
703,79.82769775,
702,79.52902985,
701,79.23364258,
700,78.91666412,
699,78.63342285,
698,78.29514313,
697,77.97840118,
696,77.56621552,
695,77.23184967,
694,76.90180206,
693,76.47646332,
692,76.09429169,
691,75.75832367,
690,75.32467651,
689,74.98352814,
688,74.58132172,
687,74.19268799,
686,73.79293823,
685,73.42584991,
684,73.0488739,
683,72.64400482,
682,72.27833557,
681,71.91236115,
680,71.57185364,
679,71.22861481,
678,70.90796661,
677,70.57546997,
676,70.29232025,
675,69.93921661,
674,69.67178345,
673,69.46222687,
672,69.16828156,
671,68.92855072,
670,68.71711731,
669,68.50712585,
668,68.27527618,
667,68.11452484,
666,67.99661255,
665,67.84780884,
664,67.66178894,
663,67.59065247,
662,67.53419495,
661,67.4667511,
660,67.40549469,
659,67.39047241,
658,67.37545013,
657,67.38990784,
656,67.43122101,
655,67.46931458,
654,67.53982544,
653,67.6576767,
652,67.73823547,
651,67.84832001,
650,67.99564362,
649,68.12435913,
648,68.33495331,
647,68.53398895,
646,68.75169373,
645,68.97406769,
644,69.22312164,
643,69.50187683,
642,69.7742157,
641,70.00685883,
640,70.32887268,
639,70.63468933,
638,70.93436432,
637,71.27874756,
636,71.63053894,
635,71.97678375,
634,72.27588654,
633,72.64081573,
632,73.00652313,
631,73.33713531,
630,73.71920013,
629,74.0612793,
628,74.42553711,
627,74.80348969,
626,75.14136505,
625,75.4000473,
624,75.77935028,
623,76.12414551,
622,76.41203308,
621,76.67842102,
620,77.00602722,
619,77.21006012,
618,77.50095367,
