Transmission thin film,
Wavelength (nm),%T
1328,82.19960022
1327,82.07221985
1326,82.02955627
1325,81.8919754
1324,81.70615387
1323,81.46873474
1322,81.43480682
1321,81.07913971
1320,80.88687897
1319,80.57956696
1318,80.26707458
1317,79.90350342
1316,79.64415741
1315,79.26672363
1314,78.79875946
1313,78.45123291
1312,77.99546051
1311,77.54085541
1310,76.9913559
1309,76.55222321
1308,76.12189484
1307,75.55831909
1306,74.9669342
1305,74.46057129
1304,73.97622681
1303,73.44142914
1302,72.90827942
1301,72.18405914
1300,71.62780762
1299,71.10536194
1298,70.54131317
1297,69.90317535
1296,69.26242828
1295,68.68812561
1294,68.16622925
1293,67.53616333
1292,66.95601654
1291,66.37552643
1290,65.70911407
1289,65.22800446
1288,64.56713104
1287,63.9497757
1286,63.27763367
1285,62.96369934
1284,62.29292297
1283,61.65168381
1282,61.01845551
1281,60.50406265
1280,59.91274261
1279,59.31284332
1278,58.80757141
1277,58.36022568
1276,57.78019333
1275,57.25030136
1274,56.72515488
1273,56.19359589
1272,55.77980423
1271,55.2848587
1270,54.81807709
1269,54.31451797
1268,53.82542038
1267,53.39010239
1266,52.9475441
1265,52.51954269
1264,52.19239044
1263,51.73229599
1262,51.30906677
1261,50.854702
1260,50.59172058
1259,50.11333847
1258,49.78099442
1257,49.40861511
1256,49.17044449
1255,48.77415085
1254,48.45149994
1253,48.14893723
1252,47.84770584
1251,47.54121017
1250,47.24627304
1249,47.04491043
1248,46.79560471
1247,46.53669739
1246,46.23302841
1245,46.0227356
1244,45.81542587
1243,45.66780472
1242,45.49968719
1241,45.13983917
1240,45.06774902
1239,44.90023041
1238,44.83943176
1237,44.64748001
1236,44.58553314
1235,44.42046738
1234,44.41582489
1233,44.33599854
1232,44.14986801
1231,44.15405655
1230,44.12797546
1229,44.05817795
1228,44.03363037
1227,44.10761261
1226,44.09898376
1225,44.18868256
1224,44.08888626
1223,44.19931412
1222,44.25098419
1221,44.33132553
1220,44.41148758
1219,44.59484863
1218,44.71341705
1217,44.84314346
1216,45.01496506
1215,45.16297531
1214,45.39434433
1213,45.59018326
1212,45.85111237
1211,46.08137131
1210,46.44069672
1209,46.64686203
1208,46.94828796
1207,47.33044434
1206,47.54133224
1205,47.9384346
1204,48.39678574
1203,48.84013367
1202,49.25197601
1201,49.72497559
1200,50.10259628
1199,50.55199814
1198,50.98966217
1197,51.47732925
1196,52.14324188
1195,52.56494141
1194,53.13256454
1193,53.63757706
1192,54.50685501
1191,55.07131958
1190,55.78371811
1189,56.48933029
1188,57.14512634
1187,58.09704208
1186,58.86157227
1185,59.56978226
1184,60.36413956
1183,61.11063385
1182,62.16213226
1181,62.971138
1180,63.73225403
1179,64.59973145
1178,65.59439087
1177,66.43502045
1176,67.26770782
1175,68.1085434
1174,69.03630066
1173,69.91322327
1172,70.75868225
1171,71.58005524
1170,72.40858459
1169,73.20410919
1168,73.95050812
1167,74.74495697
1166,75.33128357
1165,75.98030853
1164,76.72779083
1163,77.37823486
1162,77.90071106
1161,78.30250549
1160,78.7647934
1159,79.11753845
1158,79.57978058
1157,79.76838684
1156,79.99862671
1155,80.27725983
1154,80.39958191
1153,80.34249878
1152,80.38078308
1151,80.30380249
1150,80.25968933
1149,80.01541138
1148,79.86358643
1147,79.577034
1146,79.36061859
1145,78.88147736
1144,78.47227478
1143,78.06221008
1142,77.69229889
1141,77.16000366
1140,76.43565369
1139,75.97800446
1138,75.3722229
1137,74.70581055
1136,74.12948608
1135,73.29037476
1134,72.62623596
1133,71.91915894
1132,71.30635071
1131,70.4756546
1130,69.84101868
1129,68.95350647
1128,68.14615631
1127,67.54514313
1126,66.64321899
1125,65.98002625
1124,65.14950562
1123,64.45082092
1122,63.7012558
1121,62.99003983
1120,62.21924973
1119,61.43262482
1118,60.73571014
1117,59.94909286
1116,59.3107338
1115,58.64628601
1114,58.02480698
1113,57.26118088
1112,56.51837158
1111,55.96854019
1110,55.34602356
1109,54.71012115
1108,54.16321182
1107,53.55538177
1106,53.01522064
1105,52.38943863
1104,51.8281517
1103,51.34700394
1102,50.83328629
1101,50.33321381
1100,49.91925812
1099,49.38744354
1098,49.01179504
1097,48.52576065
1096,48.06600189
1095,47.74145889
1094,47.38105392
1093,47.06967926
1092,46.75184631
1091,46.43438721
1090,46.13028336
1089,45.86597443
1088,45.63877487
1087,45.30447388
1086,45.13912201
1085,44.94853592
1084,44.79328918
1083,44.6157341
1082,44.51318741
1081,44.49210358
1080,44.36349106
1079,44.36852646
1078,44.23189926
1077,44.2280426
1076,44.27912521
1075,44.35266495
1074,44.37228012
1073,44.4338913
1072,44.64774323
1071,44.77921295
1070,44.95109558
1069,45.07221985
1068,45.35467148
1067,45.58041
1066,45.8425827
1065,46.16849899
1064,46.52508926
1063,47.00992584
1062,47.36074066
1061,47.85941696
1060,48.40252686
1059,48.88915253
1058,49.42900848
1057,50.04924393
1056,50.75779724
1055,51.33956146
1054,52.11434937
1053,52.93486023
1052,53.7014122
1051,54.6555748
1050,55.36534882
1049,56.42441559
1048,57.29580688
1047,58.29632187
1046,59.37692642
1045,60.41556168
1044,61.42714691
1043,62.60292435
1042,63.68571091
1041,64.71354675
1040,65.87106323
1039,67.03590393
1038,68.20550537
1037,69.34541321
1036,70.36650848
1035,71.45396423
1034,72.3518219
1033,73.42607117
1032,74.41725159
1031,75.10753632
1030,75.90999603
1029,76.58538818
1028,77.1771698
1027,77.79972839
1026,78.16490173
1025,78.5134964
1024,78.87275696
1023,78.88710785
1022,79.1235199
1021,79.09129333
1020,78.99269867
1019,78.51110077
1018,78.24384308
1017,77.99021912
1016,77.5271225
1015,77.0147171
1014,76.34661102
1013,75.74382782
1012,75.10004425
1011,74.26850891
1010,73.39160919
1009,72.58569336
1008,71.79924011
1007,70.9833374
1006,70.01337433
1005,69.08272552
1004,68.09767914
1003,67.06478882
1002,66.33650208
1001,65.24761963
1000,64.36452484
999,63.32744217
998,62.41843796
997,61.3684845
996,60.56635284
995,59.59196854
994,58.70572281
993,57.88770294
992,56.95570755
991,56.18052673
990,55.36347198
989,54.50634766
988,53.8372879
987,53.05018997
986,52.35792542
985,51.67124176
984,51.03255463
983,50.44852066
982,49.75441742
981,49.17396164
980,48.65851974
979,48.15673447
978,47.60905838
977,47.18548965
976,46.6727829
975,46.30552673
974,45.91867447
973,45.53926468
972,45.27082443
971,44.98921585
970,44.76356125
969,44.51391983
968,44.33743668
967,44.23494339
966,44.09675598
965,44.02375793
964,44.0664711
963,44.07068634
962,44.15213013
961,44.19093323
960,44.32899475
959,44.58517838
958,44.84156418
957,45.14451599
956,45.4932518
955,45.8559494
954,46.28634644
953,46.7428627
952,47.2448616
951,47.86413193
950,48.65121078
